x,y,z
-109.791,-3.116265,-48.95768
32.31,21.48,26.21
31.35618,21.328,24.62562
27.03182,21.328,24.04131
29.22498,21.38467,24.43459
26.61676,21.328,27.04809
28.37621,21.328,29.99345
28.50481,21.38467,29.78148
36.37015,21.328,22.65721
35.9799,21.38467,24.15085
-26.34211,22.088,-69.25452
-28.44075,22.088,-69.27081
-29.07993,22.088,-71.91553
-30.63655,22.088,-74.48678
-35.12108,22.088,-82.19569
-38.06058,22.13467,-88.71513
-116.62,-3.715,-46.02
-117.2927,-3.902,-50.79021
-113.2966,-3.902,-53.79879
-111.6119,-3.902,-51.8602
-101.8541,-3.902,-31.34346
35.9799,21.38467,24.15085
37.08975,21.328,25.46668
36.49286,21.328,27.4101
-104.5589,-3.902,-32.65795
36.61501,21.38467,26.80581
-107.3199,-3.902,-31.2177
-107.17,-3.852653,-31.40682
36.61501,21.38467,26.80581
24.0665,21.328,25.36621
35.3248,21.38467,26.65779
21.85328,21.328,25.34665
21.79133,21.328,25.02612
26.42813,21.38467,25.59101
-107.17,-3.852653,-31.40682
26.42813,21.38467,25.59101
-108.7266,-3.902,-33.43696
0.05753326,21.328,23.15342
-109.4792,-3.902,-35.65888
6.883018,21.328,24.97064
10.77186,21.328,24.92245
10.17286,21.328,24.95961
-112.0998,-3.902,-44.77005
10.78558,21.328,24.93654
10.19032,21.328,24.90258
10.49353,21.328,25.72059
9.851315,21.328,25.89859
8.98246,21.328,27.81416
8.529163,21.328,28.68128
9.997128,21.328,30.21611
12.85569,21.328,30.49154
13.14919,21.328,30.62413
13.14919,21.38467,30.62413
-109.8739,-3.121905,-49.01053
19.26383,21.328,29.87725
30.05428,21.38467,28.33505
-168.56,36.727,-20.66
-36,22.19,-89.66
-34.91867,22.088,-87.09393
-35.33195,22.088,-86.76347
-34.63699,22.088,-83.08583
-161.314,37.28005,-24.74978
-34.74147,22.088,-82.63228
-37.06878,22.088,-78.94338
-37.95998,22.088,-79.0628
-37.59834,22.13467,-79.44095
-33.31456,22.088,-77.07006
-32.5877,22.088,-79.46254
-31.40277,22.088,-82.43167
-33.1026,22.088,-84.45393
-37.38562,22.13467,-89.26632
-37.38562,22.13467,-89.26632
-39.459,22.088,-88.18384
-39.34104,22.088,-87.68569
-38.15288,22.088,-85.6638
-37.70596,22.088,-85.67996
-34.41869,22.088,-84.4333
-157.1796,36.688,-22.56323
-34.50581,22.13467,-84.69604
-159.0088,36.688,-20.06516
-156.3761,36.688,-15.27489
-35.56306,22.088,-86.90028
-37.11484,22.088,-87.1556
-154.3801,36.688,-13.6076
-36.85999,22.13467,-87.08218
-152.531,36.688,-14.85043
-149.57,36.90141,-12.72546
-33.8508,22.088,-82.00863
-33.44869,22.088,-80.44012
-34.33862,22.088,-77.68046
-151.3981,36.688,-12.53891
-35.97155,22.088,-77.57761
-41.58343,22.088,-76.82661
-151.9662,36.688,-14.05469
-154.849,36.688,-13.33092
-39.27992,22.13467,-77.76176
-160.3953,36.688,-17.12584
-162.3431,36.688,-21.66644
-164.2792,36.688,-21.72153
-166.0104,36.688,-19.71028
-174.9537,36.688,-20.16699
-175.6238,36.688,-19.33504
-180.6514,36.688,-15.85336
-180.4655,36.718,-15.97742
-171.82,37.02,-22.24
-116.62,-3.715,-46.02
-112.9738,-3.902,-41.69147
-110.4251,-3.902,-43.0865
-108.1327,-3.902,-45.67028
-102.3902,-3.902,-39.72325
-101.2731,-2.74807,-37.39907
-101.2889,-3.080732,-33.97047
-103.5926,-3.750412,-27.59163
-106.1851,-3.865333,-29.94709
-106.1851,-3.865333,-29.94709
-106.1851,-3.865333,-29.94709
-180.4655,36.718,-15.97742
-179.2689,36.688,-14.34232
-100.0948,-3.902,-50.12145
-176.2851,36.688,-13.57592
-103.335,-3.902,-45.06565
-173.6121,36.688,-14.96873
-108.9505,-3.902,-48.79228
-114.5942,-3.902,-51.41189
-111.2332,-3.214019,-49.80872
-175.0107,36.688,-15.70229
-108.6601,-3.902,-38.52708
-177.2825,36.688,-19.66522
-109.9397,-3.158704,-44.11752
-176.4802,36.718,-19.95143
-103.8335,-3.902,-50.66594
-116.62,-3.715,-46.02
-104.1081,-3.902,-51.92427
-112.4086,-3.902,-47.02679
-100.6179,-3.902,-54.80593
-108.4378,-3.902,-48.40317
-102.135,-3.902,-56.01261
-105.3394,-3.902,-58.22903
-106.8638,-3.902,-56.49376
-107.1982,-3.902,-54.07095
-107.6124,-3.902,-47.9128
-105.8101,-3.902,-49.01778
-107.158,-3.902,-49.90362
-107.3416,-3.165863,-49.70284
-107.6485,-3.902,-34.76948
-107.5828,-3.902,-45.75699
-110.8449,-3.902,-48.68031
-107.2486,-3.902,-49.91063
-105.7846,-3.902,-50.32039
-105.0309,-3.902,-50.0393
-107.5421,-3.161421,-49.77856
-105.2617,-3.200358,-50.08904
-105.2617,-3.200358,-50.08904
-105.2617,-3.200358,-50.08904
-101.1777,-3.902,-48.91072
-96.29088,-3.902,-52.05568
-99.38519,-3.902,-53.71721
-99.21975,-3.755011,-53.59721
-105.5538,-3.902,-54.21252
-108.9307,-3.902,-54.53744
-113.4053,-3.902,-55.63716
-39.45639,22.13467,-77.67189
-116.4166,-3.902,-55.73035
-41.16937,22.088,-80.58109
-117.1749,-3.902,-54.59625
-40.36693,22.088,-84.58629
-117.8075,-3.902,-52.35685
-117.1558,-3.902,-49.88374
-115.4427,-3.902,-48.73669
-39.62546,22.13467,-88.45327
-109.4282,-3.902,-46.95159
-110.3903,-3.902,-48.83966
-116.62,-3.715,-46.02
-110.5497,-3.167693,-49.40555
-113.8035,-3.902,-47.85594
-112.5831,-3.902,-42.89123
-111.6402,-3.902,-47.2244
-168.56,36.727,-20.66
-111.7126,-3.312919,-43.98714
-164.3249,36.688,-22.20455
-111.9185,-3.324824,-47.15761
-162.277,36.688,-22.00231
-159.7543,36.688,-21.42075
-111.9185,-3.324824,-47.15761
-111.7126,-3.312919,-43.98714
-111.9185,-3.324824,-47.15761
-111.9185,-3.324824,-47.15761
-111.7126,-3.312919,-43.98714
-111.9185,-3.324824,-47.15761
-111.7126,-3.312919,-43.98714
-156.2043,36.688,-15.0279
-156.7193,36.688,-19.37006
-156.9612,36.688,-19.67564
-158.7825,36.688,-20.45572
-111.7126,-3.312919,-43.98714
-109.9661,-3.902,-45.80348
-111.7126,-3.312919,-43.98714
-163.0856,36.688,-20.33497
-108.3224,-3.902,-46.36391
-105.5533,-3.902,-47.81472
-105.3874,-3.902,-48.61792
-104.5687,-3.902,-50.99932
-104.6853,-3.902,-52.07087
-102.0275,-3.902,-46.8963
-105.9033,-3.902,-53.93544
-106.9633,-3.902,-53.28876
-105.315,-3.902,-43.34556
-105.8753,-3.902,-41.476
-108.8314,-3.902,-55.10117
-108.998,-3.902,-55.38041
-111.7917,-3.902,-56.33751
-112.4167,-3.902,-55.0632
-112.8315,-3.902,-54.26643
-178.5593,36.718,-16.52157
-107.7163,-3.902,-38.67807
-113.1135,-3.902,-51.92381
-112.8854,-3.902,-51.21877
-111.468,-3.902,-46.85289
-110.6202,-3.902,-46.24072
-112.0265,-3.902,-39.7382
-107.0336,-3.902,-42.2271
-105.736,-3.902,-41.98779
-107.5361,-3.902,-39.49593
-107.8567,-3.902,-38.57144
-109.9648,-3.902,-39.744
-110.9844,-3.902,-39.43818
-114.3874,-3.902,-42.8406
-112.3881,-3.902,-38.97114
-178.5593,36.718,-16.52157
-111.6513,-3.902,-40.10049
-114.4134,-3.902,-40.1505
-114.9058,-3.902,-41.08932
-178.5593,36.718,-16.52157
-113.5529,-3.902,-38.32081
-111.9063,-3.507703,-40.09544
-111.1927,-3.902,-38.02478
-111.2011,-3.902,-39.23122
-111.9063,-3.507703,-40.09544
-176.0158,36.718,-19.39597
-111.9063,-3.507703,-40.09544
-91.79,4.11,0.62
-91.79,4.134667,0.62
-111.2061,-3.50334,-39.01088
-87.58711,4.078,2.005025
-84.51798,4.078,-0.9190111
-111.9063,-3.507703,-40.09544
-81.90582,4.078,-1.408982
-78.97929,4.078,-1.838849
-64.33392,-0.02500007,-3.914288
-111.9063,-3.507703,-40.09544
-76.74942,3.266597,-2.139225
-106.2767,-3.902,-39.44379
-105.164,-3.902,-38.13208
-76.46741,3.11333,-2.179545
-106.3899,-3.902,-38.26805
-67.40082,-0.02500007,-2.569562
-107.6597,-3.902,-37.68922
-71.5863,0.460552,-2.389514
-108.4379,-3.902,-38.84512
-68.26978,-0.02500007,3.583071
-107.9913,-3.902,-39.92169
-69.27876,-0.02500007,5.478292
-106.8404,-3.902,-39.97926
-107.0881,-3.296805,-39.97422
-94.53811,-3.182195,-52.90606
-111.2343,-3.902,-43.27622
-67.24886,0.09049849,13.5923
-111.8865,-3.902,-47.12333
-110.1479,-3.902,-47.85796
-106.8223,-2.554191,-61.33979
-109.6975,-3.902,-48.72459
-107.0591,-3.173056,-49.14182
-109.5803,-3.119646,-48.90045
-91.79,4.11,0.62
-67.1802,0.05133438,13.88568
-168.56,36.727,-20.66
-67.1802,0.05133438,13.88568
-90.07908,4.078,-2.164628
-87.86169,4.078,-2.77757
-86.84196,4.078,-2.685778
-171.2774,36.688,-31.57926
-69.05164,-0.02500007,9.896646
-87.09425,4.134667,-2.606244
-68.85797,-0.02500007,4.615311
-68.65687,-0.02500007,2.620892
-88.2266,4.078,2.393256
-88.59057,4.078,2.410289
-69.19293,-0.02500007,1.331687
-170.8717,36.718,-28.96741
-70.56114,-0.02500007,-1.127323
-72.72936,0.9941356,-2.532272
-92.75302,4.078,2.048274
-73.63867,1.495689,-1.710349
-91.34162,4.134667,2.171025
-168.7178,37.17511,-26.61647
-76.34132,2.986414,-1.720777
-77.51032,3.631208,-1.632624
-168.56,36.727,-20.66
-80.0288,4.078,-1.485346
-170.3793,36.688,-21.71467
-169.5791,36.688,-22.69891
-168.5732,36.688,-23.0784
-168.7828,36.718,-22.91961
-159.7074,36.688,-20.41856
-159.7609,36.688,-19.83212
-91.34532,4.134667,1.194558
-168.8767,36.718,-27.29947
-167.595,36.688,-27.99589
-155.9295,36.688,-19.98205
-155.2099,36.688,-20.08338
-152.173,36.688,-21.26637
-151.6596,36.688,-21.68738
-52.14,12.146,56.47
-154.991,36.718,-20.82785
-167.8224,36.718,-27.87235
-55.17739,12.008,57.8782
-167.3979,36.688,-30.66256
-168.1545,36.688,-30.95363
-158.6564,36.688,-19.58437
-158.8359,36.688,-19.89946
-54.98458,12.05133,57.7888
-170.8172,36.688,-31.46715
-171.152,36.688,-30.86363
-163.0476,36.688,-21.26748
-166.4005,38.80551,-30.20648
-173.007,36.688,-23.36828
-171.9384,36.688,-24.80716
-171.8595,36.688,-23.60235
-166.6781,36.688,-22.75555
-169.6115,37.43223,-25.2684
-169.5875,36.688,-22.38047
-165.5603,36.688,-22.40966
-64.33238,12.05133,61.81742
